Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Spol,Value
2030,%,Ukupan omjer gospodarske potpore,M,62.1
2035,%,Ukupan omjer gospodarske potpore,M,68.98
2040,%,Ukupan omjer gospodarske potpore,M,76.0
2045,%,Ukupan omjer gospodarske potpore,M,84.34
2050,%,Ukupan omjer gospodarske potpore,M,94.16
2055,%,Ukupan omjer gospodarske potpore,M,103.66
2060,%,Ukupan omjer gospodarske potpore,M,110.44
2065,%,Ukupan omjer gospodarske potpore,M,115.81
2070,%,Ukupan omjer gospodarske potpore,M,116.18
2018,%,Omjer gospodarske potpore mladima,M,20.55
2020,%,Omjer gospodarske potpore mladima,M,20.65
2025,%,Omjer gospodarske potpore mladima,M,20.34
2030,%,Omjer gospodarske potpore mladima,M,20.29
2035,%,Omjer gospodarske potpore mladima,M,19.98
2040,%,Omjer gospodarske potpore mladima,M,19.66
2045,%,Omjer gospodarske potpore mladima,M,19.82
2050,%,Omjer gospodarske potpore mladima,M,20.49
2055,%,Omjer gospodarske potpore mladima,M,21.3
2060,%,Omjer gospodarske potpore mladima,M,21.85
2065,%,Omjer gospodarske potpore mladima,M,22.23
2070,%,Omjer gospodarske potpore mladima,M,22.13
2018,%,Omjer gospodarske potpore starijim osobama,M,23.78
2020,%,Omjer gospodarske potpore starijim osobama,M,26.46
2025,%,Omjer gospodarske potpore starijim osobama,M,33.64
2030,%,Omjer gospodarske potpore starijim osobama,M,41.81
2035,%,Omjer gospodarske potpore starijim osobama,M,49.0
2040,%,Omjer gospodarske potpore starijim osobama,M,56.34
2045,%,Omjer gospodarske potpore starijim osobama,M,64.52
2050,%,Omjer gospodarske potpore starijim osobama,M,73.67
2055,%,Omjer gospodarske potpore starijim osobama,M,82.36
2060,%,Omjer gospodarske potpore starijim osobama,M,88.59
2065,%,Omjer gospodarske potpore starijim osobama,M,93.58
2070,%,Omjer gospodarske potpore starijim osobama,M,94.04
2018,%,Omjer starijih i mladih,M,115.71
2020,%,Omjer starijih i mladih,M,128.11
2025,%,Omjer starijih i mladih,M,165.41
2030,%,Omjer starijih i mladih,M,206.01
2035,%,Omjer starijih i mladih,M,245.28
2040,%,Omjer starijih i mladih,M,286.61
2045,%,Omjer starijih i mladih,M,325.51
2050,%,Omjer starijih i mladih,M,359.64
2055,%,Omjer starijih i mladih,M,386.67
2060,%,Omjer starijih i mladih,M,405.45
2065,%,Omjer starijih i mladih,M,420.87
2070,%,Omjer starijih i mladih,M,424.86
2018,%,Ukupan omjer gospodarske potpore,Ž,44.32
2020,%,Ukupan omjer gospodarske potpore,Ž,47.11
2025,%,Ukupan omjer gospodarske potpore,Ž,53.97
2030,%,Ukupan omjer gospodarske potpore,Ž,62.1
2035,%,Ukupan omjer gospodarske potpore,Ž,68.98
2040,%,Ukupan omjer gospodarske potpore,Ž,76.0
2045,%,Ukupan omjer gospodarske potpore,Ž,84.34
2050,%,Ukupan omjer gospodarske potpore,Ž,94.16
2055,%,Ukupan omjer gospodarske potpore,Ž,103.66
2060,%,Ukupan omjer gospodarske potpore,Ž,110.44
2065,%,Ukupan omjer gospodarske potpore,Ž,115.81
2070,%,Ukupan omjer gospodarske potpore,Ž,116.18
2018,%,Omjer gospodarske potpore mladima,Ž,20.55
2020,%,Omjer gospodarske potpore mladima,Ž,20.65
2025,%,Omjer gospodarske potpore mladima,Ž,20.34
2030,%,Omjer gospodarske potpore mladima,Ž,20.29
2035,%,Omjer gospodarske potpore mladima,Ž,19.98
2040,%,Omjer gospodarske potpore mladima,Ž,19.66
2045,%,Omjer gospodarske potpore mladima,Ž,19.82
2050,%,Omjer gospodarske potpore mladima,Ž,20.49
2055,%,Omjer gospodarske potpore mladima,Ž,21.3
2060,%,Omjer gospodarske potpore mladima,Ž,21.85
2065,%,Omjer gospodarske potpore mladima,Ž,22.23
2070,%,Omjer gospodarske potpore mladima,Ž,22.13
2018,%,Omjer gospodarske potpore starijim osobama,Ž,23.78
2020,%,Omjer gospodarske potpore starijim osobama,Ž,26.46
2025,%,Omjer gospodarske potpore starijim osobama,Ž,33.64
2030,%,Omjer gospodarske potpore starijim osobama,Ž,41.81
2035,%,Omjer gospodarske potpore starijim osobama,Ž,49.0
2040,%,Omjer gospodarske potpore starijim osobama,Ž,56.34
2045,%,Omjer gospodarske potpore starijim osobama,Ž,64.52
2050,%,Omjer gospodarske potpore starijim osobama,Ž,73.67
2055,%,Omjer gospodarske potpore starijim osobama,Ž,82.36
2060,%,Omjer gospodarske potpore starijim osobama,Ž,88.59
2065,%,Omjer gospodarske potpore starijim osobama,Ž,93.58
2070,%,Omjer gospodarske potpore starijim osobama,Ž,94.04
2018,%,Omjer starijih i mladih,Ž,115.71
2020,%,Omjer starijih i mladih,Ž,128.11
2025,%,Omjer starijih i mladih,Ž,165.41
2030,%,Omjer starijih i mladih,Ž,206.01
2035,%,Omjer starijih i mladih,Ž,245.28
2040,%,Omjer starijih i mladih,Ž,286.61
2045,%,Omjer starijih i mladih,Ž,325.51
2050,%,Omjer starijih i mladih,Ž,359.64
2055,%,Omjer starijih i mladih,Ž,386.67
2060,%,Omjer starijih i mladih,Ž,405.45
2065,%,Omjer starijih i mladih,Ž,420.87
2070,%,Omjer starijih i mladih,Ž,424.86
