Year,UNIT_MEASURE,Spol,ENROLMENT,Value
2011,Broj,Oba spola,enrolment_in_primary_school_education,316657.0
2012,Broj,Oba spola,enrolment_in_primary_school_education,304881.0
2013,Broj,Oba spola,enrolment_in_primary_school_education,302133.0
2014,Broj,Oba spola,enrolment_in_primary_school_education,296819.0
2015,Broj,Oba spola,enrolment_in_primary_school_education,291342.0
2016,Broj,Oba spola,enrolment_in_primary_school_education,287729.0
2017,Broj,Oba spola,enrolment_in_primary_school_education,282946.0
2018,Broj,Oba spola,enrolment_in_primary_school_education,280018.0
2019,Broj,Oba spola,enrolment_in_primary_school_education,274034.0
2020,Broj,Oba spola,enrolment_in_primary_school_education,268132.0
1996,Broj,Muškarci,enrolment_in_primary_school_education,200389.0
1997,Broj,Muškarci,enrolment_in_primary_school_education,203239.0
1998,Broj,Muškarci,enrolment_in_primary_school_education,203897.0
1999,Broj,Muškarci,enrolment_in_primary_school_education,193927.0
2000,Broj,Muškarci,enrolment_in_primary_school_education,189855.0
2001,Broj,Muškarci,enrolment_in_primary_school_education,187196.0
2002,Broj,Muškarci,enrolment_in_primary_school_education,184971.0
2003,Broj,Muškarci,enrolment_in_primary_school_education,192679.0
2004,Broj,Muškarci,enrolment_in_primary_school_education,195814.0
2005,Broj,Muškarci,enrolment_in_primary_school_education,192396.0
2006,Broj,Muškarci,enrolment_in_primary_school_education,188333.0
2007,Broj,Muškarci,enrolment_in_primary_school_education,185900.0
2008,Broj,Muškarci,enrolment_in_primary_school_education,184739.0
2009,Broj,Muškarci,enrolment_in_primary_school_education,180221.0
2010,Broj,Muškarci,enrolment_in_primary_school_education,172347.0
2011,Broj,Muškarci,enrolment_in_primary_school_education,162596.0
2012,Broj,Muškarci,enrolment_in_primary_school_education,156296.0
2013,Broj,Muškarci,enrolment_in_primary_school_education,154895.0
2014,Broj,Muškarci,enrolment_in_primary_school_education,152363.0
2015,Broj,Muškarci,enrolment_in_primary_school_education,149888.0
2016,Broj,Muškarci,enrolment_in_primary_school_education,148250.0
2017,Broj,Muškarci,enrolment_in_primary_school_education,145441.0
2018,Broj,Muškarci,enrolment_in_primary_school_education,143837.0
2019,Broj,Muškarci,enrolment_in_primary_school_education,140792.0
2020,Broj,Muškarci,enrolment_in_primary_school_education,137576.0
1996,Broj,Žene,enrolment_in_primary_school_education,190010.0
1997,Broj,Žene,enrolment_in_primary_school_education,192864.0
1998,Broj,Žene,enrolment_in_primary_school_education,199015.0
1999,Broj,Žene,enrolment_in_primary_school_education,197606.0
2000,Broj,Žene,enrolment_in_primary_school_education,179854.0
2001,Broj,Žene,enrolment_in_primary_school_education,177285.0
2002,Broj,Žene,enrolment_in_primary_school_education,175988.0
2003,Broj,Žene,enrolment_in_primary_school_education,182236.0
2004,Broj,Žene,enrolment_in_primary_school_education,184872.0
2005,Broj,Žene,enrolment_in_primary_school_education,182311.0
2006,Broj,Žene,enrolment_in_primary_school_education,178843.0
2007,Broj,Žene,enrolment_in_primary_school_education,176574.0
2008,Broj,Žene,enrolment_in_primary_school_education,175186.0
2009,Broj,Žene,enrolment_in_primary_school_education,170897.0
2010,Broj,Žene,enrolment_in_primary_school_education,163056.0
2011,Broj,Žene,enrolment_in_primary_school_education,154061.0
2012,Broj,Žene,enrolment_in_primary_school_education,148585.0
2013,Broj,Žene,enrolment_in_primary_school_education,147238.0
2014,Broj,Žene,enrolment_in_primary_school_education,144456.0
2015,Broj,Žene,enrolment_in_primary_school_education,141454.0
2016,Broj,Žene,enrolment_in_primary_school_education,139479.0
2017,Broj,Žene,enrolment_in_primary_school_education,137505.0
2018,Broj,Žene,enrolment_in_primary_school_education,136181.0
2019,Broj,Žene,enrolment_in_primary_school_education,133242.0
2020,Broj,Žene,enrolment_in_primary_school_education,130556.0
1996,Broj,Oba spola,enrolment_in_high_school_education,138158.0
1997,Broj,Oba spola,enrolment_in_high_school_education,146536.0
1998,Broj,Oba spola,enrolment_in_high_school_education,155166.0
1999,Broj,Oba spola,enrolment_in_high_school_education,160173.0
2000,Broj,Oba spola,enrolment_in_high_school_education,160962.0
2001,Broj,Oba spola,enrolment_in_high_school_education,168628.0
2002,Broj,Oba spola,enrolment_in_high_school_education,168335.0
2003,Broj,Oba spola,enrolment_in_high_school_education,166901.0
2004,Broj,Oba spola,enrolment_in_high_school_education,164743.0
2005,Broj,Oba spola,enrolment_in_high_school_education,162434.0
2006,Broj,Oba spola,enrolment_in_high_school_education,160497.0
2007,Broj,Oba spola,enrolment_in_high_school_education,154666.0
2008,Broj,Oba spola,enrolment_in_high_school_education,148100.0
2009,Broj,Oba spola,enrolment_in_high_school_education,146919.0
2010,Broj,Oba spola,enrolment_in_high_school_education,151680.0
2011,Broj,Oba spola,enrolment_in_high_school_education,163284.0
2012,Broj,Oba spola,enrolment_in_high_school_education,166662.0
2013,Broj,Oba spola,enrolment_in_high_school_education,156350.0
2014,Broj,Oba spola,enrolment_in_high_school_education,143881.0
2015,Broj,Oba spola,enrolment_in_high_school_education,133228.0
2016,Broj,Oba spola,enrolment_in_high_school_education,126824.0
2017,Broj,Oba spola,enrolment_in_high_school_education,124148.0
2018,Broj,Oba spola,enrolment_in_high_school_education,117475.0
2019,Broj,Oba spola,enrolment_in_high_school_education,112796.0
2020,Broj,Oba spola,enrolment_in_high_school_education,110534.0
1996,Broj,Muškarci,enrolment_in_high_school_education,72532.0
1997,Broj,Muškarci,enrolment_in_high_school_education,75120.0
1998,Broj,Muškarci,enrolment_in_high_school_education,79163.0
1999,Broj,Muškarci,enrolment_in_high_school_education,80622.0
2000,Broj,Muškarci,enrolment_in_high_school_education,80724.0
2001,Broj,Muškarci,enrolment_in_high_school_education,84955.0
2002,Broj,Muškarci,enrolment_in_high_school_education,84866.0
2003,Broj,Muškarci,enrolment_in_high_school_education,83898.0
2004,Broj,Muškarci,enrolment_in_high_school_education,82758.0
2005,Broj,Muškarci,enrolment_in_high_school_education,81458.0
2006,Broj,Muškarci,enrolment_in_high_school_education,80443.0
2007,Broj,Muškarci,enrolment_in_high_school_education,77704.0
2008,Broj,Muškarci,enrolment_in_high_school_education,74713.0
2009,Broj,Muškarci,enrolment_in_high_school_education,74077.0
2010,Broj,Muškarci,enrolment_in_high_school_education,76604.0
2011,Broj,Muškarci,enrolment_in_high_school_education,82745.0
2012,Broj,Muškarci,enrolment_in_high_school_education,84420.0
2013,Broj,Muškarci,enrolment_in_high_school_education,78882.0
2014,Broj,Muškarci,enrolment_in_high_school_education,72095.0
2015,Broj,Muškarci,enrolment_in_high_school_education,66708.0
2016,Broj,Muškarci,enrolment_in_high_school_education,63232.0
2017,Broj,Muškarci,enrolment_in_high_school_education,61934.0
2018,Broj,Muškarci,enrolment_in_high_school_education,58821.0
2019,Broj,Muškarci,enrolment_in_high_school_education,56328.0
2020,Broj,Muškarci,enrolment_in_high_school_education,55119.0
2008,Broj,Muškarci,enrolment_in_high_school_education,50.44767049
2009,Broj,Muškarci,enrolment_in_high_school_education,50.42029962
2010,Broj,Muškarci,enrolment_in_high_school_education,50.50369198
2011,Broj,Muškarci,enrolment_in_high_school_education,50.67551015
2012,Broj,Muškarci,enrolment_in_high_school_education,50.6534183
2013,Broj,Muškarci,enrolment_in_high_school_education,50.4521906
2014,Broj,Muškarci,enrolment_in_high_school_education,50.1073804
2015,Broj,Muškarci,enrolment_in_high_school_education,50.07055574
2016,Broj,Muškarci,enrolment_in_high_school_education,49.85807103
2017,Broj,Muškarci,enrolment_in_high_school_education,49.88723137
2018,Broj,Muškarci,enrolment_in_high_school_education,50.07107895
2019,Broj,Muškarci,enrolment_in_high_school_education,49.93794106
2020,Broj,Muškarci,enrolment_in_high_school_education,49.86610455
1996,Broj,Žene,enrolment_in_high_school_education,65626.0
1997,Broj,Žene,enrolment_in_high_school_education,71416.0
1998,Broj,Žene,enrolment_in_high_school_education,76003.0
1999,Broj,Žene,enrolment_in_high_school_education,79551.0
2000,Broj,Žene,enrolment_in_high_school_education,80238.0
2001,Broj,Žene,enrolment_in_high_school_education,83673.0
2002,Broj,Žene,enrolment_in_high_school_education,83469.0
2003,Broj,Žene,enrolment_in_high_school_education,83003.0
2004,Broj,Žene,enrolment_in_high_school_education,81985.0
2005,Broj,Žene,enrolment_in_high_school_education,80976.0
2006,Broj,Žene,enrolment_in_high_school_education,80054.0
2007,Broj,Žene,enrolment_in_high_school_education,76962.0
2008,Broj,Žene,enrolment_in_high_school_education,73387.0
2009,Broj,Žene,enrolment_in_high_school_education,72842.0
2010,Broj,Žene,enrolment_in_high_school_education,75076.0
2011,Broj,Žene,enrolment_in_high_school_education,80539.0
2012,Broj,Žene,enrolment_in_high_school_education,82242.0
2013,Broj,Žene,enrolment_in_high_school_education,77468.0
2014,Broj,Žene,enrolment_in_high_school_education,71786.0
2015,Broj,Žene,enrolment_in_high_school_education,66520.0
2016,Broj,Žene,enrolment_in_high_school_education,63592.0
2017,Broj,Žene,enrolment_in_high_school_education,62214.0
2018,Broj,Žene,enrolment_in_high_school_education,58654.0
2019,Broj,Žene,enrolment_in_high_school_education,56468.0
2020,Broj,Žene,enrolment_in_high_school_education,55415.0
2000,Broj,Oba spola,enrolment_in_higher_education,62525.0
2001,Broj,Oba spola,enrolment_in_higher_education,66246.0
2002,Broj,Oba spola,enrolment_in_higher_education,70956.0
2003,Broj,Oba spola,enrolment_in_higher_education,77033.0
2004,Broj,Oba spola,enrolment_in_higher_education,84422.0
2005,Broj,Oba spola,enrolment_in_higher_education,91263.0
2006,Broj,Oba spola,enrolment_in_higher_education,99557.0
2007,Broj,Oba spola,enrolment_in_higher_education,104938.0
2008,Broj,Oba spola,enrolment_in_higher_education,105358.0
2009,Broj,Oba spola,enrolment_in_higher_education,105137.0
2010,Broj,Oba spola,enrolment_in_higher_education,107537.0
2011,Broj,Oba spola,enrolment_in_higher_education,107083.0
2012,Broj,Oba spola,enrolment_in_higher_education,102443.0
2013,Broj,Oba spola,enrolment_in_higher_education,99760.0
2014,Broj,Oba spola,enrolment_in_higher_education,121309.0
2015,Broj,Oba spola,enrolment_in_higher_education,118184.0
2016,Broj,Oba spola,enrolment_in_higher_education,112850.0
2017,Broj,Oba spola,enrolment_in_higher_education,106200.0
2018,Broj,Oba spola,enrolment_in_higher_education,100760.0
2019,Broj,Oba spola,enrolment_in_higher_education,92651.0
2020,Broj,Oba spola,enrolment_in_higher_education,90216.0
2000,Broj,Muškarci,enrolment_in_higher_education,29019.0
2001,Broj,Muškarci,enrolment_in_higher_education,29817.0
2002,Broj,Muškarci,enrolment_in_higher_education,31545.0
2003,Broj,Muškarci,enrolment_in_higher_education,33856.0
2004,Broj,Muškarci,enrolment_in_higher_education,37347.0
2005,Broj,Muškarci,enrolment_in_higher_education,40911.0
2006,Broj,Muškarci,enrolment_in_higher_education,44402.0
2007,Broj,Muškarci,enrolment_in_higher_education,46314.0
2008,Broj,Muškarci,enrolment_in_higher_education,46326.0
2009,Broj,Muškarci,enrolment_in_higher_education,46323.0
2010,Broj,Muškarci,enrolment_in_higher_education,47651.0
2011,Broj,Muškarci,enrolment_in_higher_education,47672.0
2012,Broj,Muškarci,enrolment_in_higher_education,45957.0
2013,Broj,Muškarci,enrolment_in_higher_education,44646.0
2014,Broj,Muškarci,enrolment_in_higher_education,53737.0
2015,Broj,Muškarci,enrolment_in_higher_education,51872.0
2016,Broj,Muškarci,enrolment_in_higher_education,48962.0
2017,Broj,Muškarci,enrolment_in_higher_education,45428.0
2018,Broj,Muškarci,enrolment_in_higher_education,41913.0
2019,Broj,Muškarci,enrolment_in_higher_education,38176.0
2020,Broj,Muškarci,enrolment_in_higher_education,36835.0
2000,Broj,Žene,enrolment_in_higher_education,33506.0
2001,Broj,Žene,enrolment_in_higher_education,36429.0
2002,Broj,Žene,enrolment_in_higher_education,39411.0
2003,Broj,Žene,enrolment_in_higher_education,43177.0
2004,Broj,Žene,enrolment_in_higher_education,47075.0
2005,Broj,Žene,enrolment_in_higher_education,50352.0
2006,Broj,Žene,enrolment_in_higher_education,55155.0
2007,Broj,Žene,enrolment_in_higher_education,58624.0
2008,Broj,Žene,enrolment_in_higher_education,59032.0
2009,Broj,Žene,enrolment_in_higher_education,58814.0
2010,Broj,Žene,enrolment_in_higher_education,59886.0
2011,Broj,Žene,enrolment_in_higher_education,59411.0
2012,Broj,Žene,enrolment_in_higher_education,56486.0
2013,Broj,Žene,enrolment_in_higher_education,55114.0
2014,Broj,Žene,enrolment_in_higher_education,67572.0
2015,Broj,Žene,enrolment_in_higher_education,66312.0
2016,Broj,Žene,enrolment_in_higher_education,63888.0
2017,Broj,Žene,enrolment_in_higher_education,60772.0
2018,Broj,Žene,enrolment_in_higher_education,58847.0
2019,Broj,Žene,enrolment_in_higher_education,54475.0
2020,Broj,Žene,enrolment_in_higher_education,53381.0
