Year,UNIT_MEASURE,Spol,Entitet,Births,Value
2018,Broj,Oba spola,BiH,Deaths,37744
2019,Broj,Oba spola,BiH,Deaths,38829
1996,Broj,Muškarci,BiH,Deaths,13952
1997,Broj,Muškarci,BiH,Deaths,15184
1998,Broj,Muškarci,BiH,Deaths,15303
1999,Broj,Muškarci,BiH,Deaths,15161
2000,Broj,Muškarci,BiH,Deaths,16058
2001,Broj,Muškarci,BiH,Deaths,16202
2002,Broj,Muškarci,BiH,Deaths,15647
2003,Broj,Muškarci,BiH,Deaths,16590
2004,Broj,Muškarci,BiH,Deaths,16780
2005,Broj,Muškarci,BiH,Deaths,18018
2006,Broj,Muškarci,BiH,Deaths,17308
2007,Broj,Muškarci,BiH,Deaths,18154
2008,Broj,Muškarci,BiH,Deaths,17687
2009,Broj,Muškarci,BiH,Deaths,17884
2010,Broj,Muškarci,BiH,Deaths,17900
2011,Broj,Muškarci,BiH,Deaths,17965
2012,Broj,Muškarci,BiH,Deaths,18436
2013,Broj,Muškarci,BiH,Deaths,18217
2014,Broj,Muškarci,BiH,Deaths,18360
2015,Broj,Muškarci,BiH,Deaths,19219
2016,Broj,Muškarci,BiH,Deaths,18542
2017,Broj,Muškarci,BiH,Deaths,19186
2018,Broj,Muškarci,BiH,Deaths,19007
2019,Broj,Muškarci,BiH,Deaths,19042
1996,Broj,Žene,BiH,Deaths,11200
1997,Broj,Žene,BiH,Deaths,12691
1998,Broj,Žene,BiH,Deaths,13376
1999,Broj,Žene,BiH,Deaths,13476
2000,Broj,Žene,BiH,Deaths,14424
2001,Broj,Žene,BiH,Deaths,14123
2002,Broj,Žene,BiH,Deaths,14508
2003,Broj,Žene,BiH,Deaths,15167
2004,Broj,Žene,BiH,Deaths,15836
2005,Broj,Žene,BiH,Deaths,16384
2006,Broj,Žene,BiH,Deaths,15913
2007,Broj,Žene,BiH,Deaths,16890
2008,Broj,Žene,BiH,Deaths,16339
2009,Broj,Žene,BiH,Deaths,17020
2010,Broj,Žene,BiH,Deaths,17218
2011,Broj,Žene,BiH,Deaths,17063
2012,Broj,Žene,BiH,Deaths,17381
2013,Broj,Žene,BiH,Deaths,17445
2014,Broj,Žene,BiH,Deaths,17620
2015,Broj,Žene,BiH,Deaths,18931
2016,Broj,Žene,BiH,Deaths,18029
2017,Broj,Žene,BiH,Deaths,18793
2018,Broj,Žene,BiH,Deaths,18737
2019,Broj,Žene,BiH,Deaths,19787
1996,Broj,Oba spola,BiH,Natural change,21442
1997,Broj,Oba spola,BiH,Natural change,20522
1998,Broj,Oba spola,BiH,Natural change,16328
1999,Broj,Oba spola,BiH,Natural change,13827
2000,Broj,Oba spola,BiH,Natural change,9081
2001,Broj,Oba spola,BiH,Natural change,7392
2002,Broj,Oba spola,BiH,Natural change,5432
2003,Broj,Oba spola,BiH,Natural change,3477
2004,Broj,Oba spola,BiH,Natural change,2535
2005,Broj,Oba spola,BiH,Natural change,225
2006,Broj,Oba spola,BiH,Natural change,812
2007,Broj,Oba spola,BiH,Natural change,-1209
2008,Broj,Oba spola,BiH,Natural change,150
2009,Broj,Oba spola,BiH,Natural change,-354
2010,Broj,Oba spola,BiH,Natural change,-1590
2011,Broj,Oba spola,BiH,Natural change,-3217
2012,Broj,Oba spola,BiH,Natural change,-3270
2013,Broj,Oba spola,BiH,Natural change,-4978
2014,Broj,Oba spola,BiH,Natural change,-5712
2015,Broj,Oba spola,BiH,Natural change,-8380
2016,Broj,Oba spola,BiH,Natural change,-6388
2017,Broj,Oba spola,BiH,Natural change,-7779
2018,Broj,Oba spola,BiH,Natural change,-8277
2019,Broj,Oba spola,BiH,Natural change,-10469
1997,Broj,Oba spola,Federacija BiH,Live birth,34304
1998,Broj,Oba spola,Federacija BiH,Live birth,31480
1999,Broj,Oba spola,Federacija BiH,Live birth,27964
2000,Broj,Oba spola,Federacija BiH,Live birth,25372
2001,Broj,Oba spola,Federacija BiH,Live birth,24018
2002,Broj,Oba spola,Federacija BiH,Live birth,23251
2003,Broj,Oba spola,Federacija BiH,Live birth,23168
2004,Broj,Oba spola,Federacija BiH,Live birth,22250
2005,Broj,Oba spola,Federacija BiH,Live birth,21934
2006,Broj,Oba spola,Federacija BiH,Live birth,21602
2007,Broj,Oba spola,Federacija BiH,Live birth,21715
2008,Broj,Oba spola,Federacija BiH,Live birth,22920
2009,Broj,Oba spola,Federacija BiH,Live birth,22913
2010,Broj,Oba spola,Federacija BiH,Live birth,22382
2011,Broj,Oba spola,Federacija BiH,Live birth,21228
2012,Broj,Oba spola,Federacija BiH,Live birth,21472
2013,Broj,Oba spola,Federacija BiH,Live birth,20145
2014,Broj,Oba spola,Federacija BiH,Live birth,19880
2015,Broj,Oba spola,Federacija BiH,Live birth,19358
2016,Broj,Oba spola,Federacija BiH,Live birth,19655
2017,Broj,Oba spola,Federacija BiH,Live birth,19824
2018,Broj,Oba spola,Federacija BiH,Live birth,18899
2019,Broj,Oba spola,Federacija BiH,Live birth,18019
1997,Broj,Muškarci,Federacija BiH,Live birth,17961
1998,Broj,Muškarci,Federacija BiH,Live birth,16344
1999,Broj,Muškarci,Federacija BiH,Live birth,14242
2000,Broj,Muškarci,Federacija BiH,Live birth,13088
2001,Broj,Muškarci,Federacija BiH,Live birth,12347
2002,Broj,Muškarci,Federacija BiH,Live birth,11932
2003,Broj,Muškarci,Federacija BiH,Live birth,12083
2004,Broj,Muškarci,Federacija BiH,Live birth,11476
2005,Broj,Muškarci,Federacija BiH,Live birth,11287
2006,Broj,Muškarci,Federacija BiH,Live birth,11207
2007,Broj,Muškarci,Federacija BiH,Live birth,11293
2008,Broj,Muškarci,Federacija BiH,Live birth,11730
2009,Broj,Muškarci,Federacija BiH,Live birth,11876
2010,Broj,Muškarci,Federacija BiH,Live birth,11561
2011,Broj,Muškarci,Federacija BiH,Live birth,11014
2012,Broj,Muškarci,Federacija BiH,Live birth,11154
2013,Broj,Muškarci,Federacija BiH,Live birth,10391
2014,Broj,Muškarci,Federacija BiH,Live birth,10185
2015,Broj,Muškarci,Federacija BiH,Live birth,9884
2016,Broj,Muškarci,Federacija BiH,Live birth,10214
2017,Broj,Muškarci,Federacija BiH,Live birth,10247
2018,Broj,Muškarci,Federacija BiH,Live birth,9742
2019,Broj,Muškarci,Federacija BiH,Live birth,9342
1997,Broj,Žene,Federacija BiH,Live birth,16343
1998,Broj,Žene,Federacija BiH,Live birth,15136
1999,Broj,Žene,Federacija BiH,Live birth,13722
2000,Broj,Žene,Federacija BiH,Live birth,12284
2001,Broj,Žene,Federacija BiH,Live birth,11671
2002,Broj,Žene,Federacija BiH,Live birth,11319
2003,Broj,Žene,Federacija BiH,Live birth,11085
2004,Broj,Žene,Federacija BiH,Live birth,10774
2005,Broj,Žene,Federacija BiH,Live birth,10647
2006,Broj,Žene,Federacija BiH,Live birth,10395
2007,Broj,Žene,Federacija BiH,Live birth,10422
2008,Broj,Žene,Federacija BiH,Live birth,11190
2009,Broj,Žene,Federacija BiH,Live birth,11037
2010,Broj,Žene,Federacija BiH,Live birth,10821
2011,Broj,Žene,Federacija BiH,Live birth,10214
2012,Broj,Žene,Federacija BiH,Live birth,10318
2013,Broj,Žene,Federacija BiH,Live birth,9754
2014,Broj,Žene,Federacija BiH,Live birth,9695
2015,Broj,Žene,Federacija BiH,Live birth,9474
2016,Broj,Žene,Federacija BiH,Live birth,9441
2017,Broj,Žene,Federacija BiH,Live birth,9577
2018,Broj,Žene,Federacija BiH,Live birth,9157
2019,Broj,Žene,Federacija BiH,Live birth,8677
1997,Broj,Oba spola,Federacija BiH,Deaths,14703
1998,Broj,Oba spola,Federacija BiH,Deaths,15311
1999,Broj,Oba spola,Federacija BiH,Deaths,15516
2000,Broj,Oba spola,Federacija BiH,Deaths,16985
2001,Broj,Oba spola,Federacija BiH,Deaths,16756
2002,Broj,Oba spola,Federacija BiH,Deaths,16988
2003,Broj,Oba spola,Federacija BiH,Deaths,18049
2004,Broj,Oba spola,Federacija BiH,Deaths,18122
2005,Broj,Oba spola,Federacija BiH,Deaths,19099
2006,Broj,Oba spola,Federacija BiH,Deaths,18497
2007,Broj,Oba spola,Federacija BiH,Deaths,19280
2008,Broj,Oba spola,Federacija BiH,Deaths,19306
2009,Broj,Oba spola,Federacija BiH,Deaths,19829
2010,Broj,Oba spola,Federacija BiH,Deaths,20256
2011,Broj,Oba spola,Federacija BiH,Deaths,19979
2012,Broj,Oba spola,Federacija BiH,Deaths,20621
2013,Broj,Oba spola,Federacija BiH,Deaths,20269
2014,Broj,Oba spola,Federacija BiH,Deaths,20030
2015,Broj,Oba spola,Federacija BiH,Deaths,21474
2016,Broj,Oba spola,Federacija BiH,Deaths,21105
2017,Broj,Oba spola,Federacija BiH,Deaths,21689
2018,Broj,Oba spola,Federacija BiH,Deaths,21442
2019,Broj,Oba spola,Federacija BiH,Deaths,22024
1997,Broj,Muškarci,Federacija BiH,Deaths,7908
1998,Broj,Muškarci,Federacija BiH,Deaths,8216
1999,Broj,Muškarci,Federacija BiH,Deaths,8194
2000,Broj,Muškarci,Federacija BiH,Deaths,8917
2001,Broj,Muškarci,Federacija BiH,Deaths,8830
2002,Broj,Muškarci,Federacija BiH,Deaths,8757
2003,Broj,Muškarci,Federacija BiH,Deaths,9344
2004,Broj,Muškarci,Federacija BiH,Deaths,9258
2005,Broj,Muškarci,Federacija BiH,Deaths,9934
2006,Broj,Muškarci,Federacija BiH,Deaths,9538
2007,Broj,Muškarci,Federacija BiH,Deaths,9921
2008,Broj,Muškarci,Federacija BiH,Deaths,9982
2009,Broj,Muškarci,Federacija BiH,Deaths,10077
2010,Broj,Muškarci,Federacija BiH,Deaths,10220
2011,Broj,Muškarci,Federacija BiH,Deaths,10234
2012,Broj,Muškarci,Federacija BiH,Deaths,10599
2013,Broj,Muškarci,Federacija BiH,Deaths,10250
2014,Broj,Muškarci,Federacija BiH,Deaths,10184
2015,Broj,Muškarci,Federacija BiH,Deaths,10722
2016,Broj,Muškarci,Federacija BiH,Deaths,10538
2017,Broj,Muškarci,Federacija BiH,Deaths,10979
2018,Broj,Muškarci,Federacija BiH,Deaths,10756
2019,Broj,Muškarci,Federacija BiH,Deaths,11140
1997,Broj,Žene,Federacija BiH,Deaths,6795
1998,Broj,Žene,Federacija BiH,Deaths,7095
1999,Broj,Žene,Federacija BiH,Deaths,7322
2000,Broj,Žene,Federacija BiH,Deaths,8068
2001,Broj,Žene,Federacija BiH,Deaths,7926
2002,Broj,Žene,Federacija BiH,Deaths,8231
2003,Broj,Žene,Federacija BiH,Deaths,8705
2004,Broj,Žene,Federacija BiH,Deaths,8864
2005,Broj,Žene,Federacija BiH,Deaths,9165
2006,Broj,Žene,Federacija BiH,Deaths,8959
2007,Broj,Žene,Federacija BiH,Deaths,9359
2008,Broj,Žene,Federacija BiH,Deaths,9324
2009,Broj,Žene,Federacija BiH,Deaths,9752
2010,Broj,Žene,Federacija BiH,Deaths,10036
2011,Broj,Žene,Federacija BiH,Deaths,9745
2012,Broj,Žene,Federacija BiH,Deaths,10022
2013,Broj,Žene,Federacija BiH,Deaths,10019
2014,Broj,Žene,Federacija BiH,Deaths,9846
2015,Broj,Žene,Federacija BiH,Deaths,10752
2016,Broj,Žene,Federacija BiH,Deaths,10567
2017,Broj,Žene,Federacija BiH,Deaths,10710
2018,Broj,Žene,Federacija BiH,Deaths,10686
2019,Broj,Žene,Federacija BiH,Deaths,10884
1997,Broj,Oba spola,Federacija BiH,Natural change,19601
1998,Broj,Oba spola,Federacija BiH,Natural change,16169
1999,Broj,Oba spola,Federacija BiH,Natural change,12448
2000,Broj,Oba spola,Federacija BiH,Natural change,8387
2001,Broj,Oba spola,Federacija BiH,Natural change,7262
2002,Broj,Oba spola,Federacija BiH,Natural change,6263
2003,Broj,Oba spola,Federacija BiH,Natural change,5119
2004,Broj,Oba spola,Federacija BiH,Natural change,4128
2005,Broj,Oba spola,Federacija BiH,Natural change,2835
2006,Broj,Oba spola,Federacija BiH,Natural change,3105
2007,Broj,Oba spola,Federacija BiH,Natural change,2435
2008,Broj,Oba spola,Federacija BiH,Natural change,3614
2009,Broj,Oba spola,Federacija BiH,Natural change,3084
2010,Broj,Oba spola,Federacija BiH,Natural change,2126
2011,Broj,Oba spola,Federacija BiH,Natural change,1249
2012,Broj,Oba spola,Federacija BiH,Natural change,851
2013,Broj,Oba spola,Federacija BiH,Natural change,-124
2014,Broj,Oba spola,Federacija BiH,Natural change,-150
2015,Broj,Oba spola,Federacija BiH,Natural change,-2116
2016,Broj,Oba spola,Federacija BiH,Natural change,-1450
2017,Broj,Oba spola,Federacija BiH,Natural change,-1865
2018,Broj,Oba spola,Federacija BiH,Natural change,-2543
2019,Broj,Oba spola,Federacija BiH,Natural change,-4005
1996,Broj,Oba spola,Republika Srpska,Live birth,12263
1997,Broj,Oba spola,Republika Srpska,Live birth,13757
1998,Broj,Oba spola,Republika Srpska,Live birth,13527
1999,Broj,Oba spola,Republika Srpska,Live birth,14500
2000,Broj,Oba spola,Republika Srpska,Live birth,14191
2001,Broj,Oba spola,Republika Srpska,Live birth,13699
2002,Broj,Oba spola,Republika Srpska,Live birth,12336
2003,Broj,Oba spola,Republika Srpska,Live birth,10537
2004,Broj,Oba spola,Republika Srpska,Live birth,10628
2005,Broj,Oba spola,Republika Srpska,Live birth,10322
2006,Broj,Oba spola,Republika Srpska,Live birth,10524
2007,Broj,Oba spola,Republika Srpska,Live birth,10110
2008,Broj,Oba spola,Republika Srpska,Live birth,10198
2009,Broj,Oba spola,Republika Srpska,Live birth,10603
2010,Broj,Oba spola,Republika Srpska,Live birth,10147
2011,Broj,Oba spola,Republika Srpska,Live birth,9561
2012,Broj,Oba spola,Republika Srpska,Live birth,9978
2013,Broj,Oba spola,Republika Srpska,Live birth,9510
2014,Broj,Oba spola,Republika Srpska,Live birth,9335
2015,Broj,Oba spola,Republika Srpska,Live birth,9357
2016,Broj,Oba spola,Republika Srpska,Live birth,9452
2017,Broj,Oba spola,Republika Srpska,Live birth,9339
2018,Broj,Oba spola,Republika Srpska,Live birth,9568
2019,Broj,Oba spola,Republika Srpska,Live birth,9274
1996,Broj,Muškarci,Republika Srpska,Live birth,6368
1997,Broj,Muškarci,Republika Srpska,Live birth,7176
1998,Broj,Muškarci,Republika Srpska,Live birth,7081
1999,Broj,Muškarci,Republika Srpska,Live birth,7394
2000,Broj,Muškarci,Republika Srpska,Live birth,7319
2001,Broj,Muškarci,Republika Srpska,Live birth,7053
2002,Broj,Muškarci,Republika Srpska,Live birth,6365
2003,Broj,Muškarci,Republika Srpska,Live birth,5450
2004,Broj,Muškarci,Republika Srpska,Live birth,5515
2005,Broj,Muškarci,Republika Srpska,Live birth,5302
2006,Broj,Muškarci,Republika Srpska,Live birth,5351
2007,Broj,Muškarci,Republika Srpska,Live birth,5203
2008,Broj,Muškarci,Republika Srpska,Live birth,5262
2009,Broj,Muškarci,Republika Srpska,Live birth,5577
2010,Broj,Muškarci,Republika Srpska,Live birth,5184
2011,Broj,Muškarci,Republika Srpska,Live birth,5008
2012,Broj,Muškarci,Republika Srpska,Live birth,5089
2013,Broj,Muškarci,Republika Srpska,Live birth,4907
2014,Broj,Muškarci,Republika Srpska,Live birth,4846
2015,Broj,Muškarci,Republika Srpska,Live birth,4842
2016,Broj,Muškarci,Republika Srpska,Live birth,4931
2017,Broj,Muškarci,Republika Srpska,Live birth,4886
2018,Broj,Muškarci,Republika Srpska,Live birth,5001
2019,Broj,Muškarci,Republika Srpska,Live birth,4907
1996,Broj,Žene,Republika Srpska,Live birth,5895
1997,Broj,Žene,Republika Srpska,Live birth,6581
1998,Broj,Žene,Republika Srpska,Live birth,6446
1999,Broj,Žene,Republika Srpska,Live birth,7106
2000,Broj,Žene,Republika Srpska,Live birth,6872
2001,Broj,Žene,Republika Srpska,Live birth,6646
2002,Broj,Žene,Republika Srpska,Live birth,5971
2003,Broj,Žene,Republika Srpska,Live birth,5087
2004,Broj,Žene,Republika Srpska,Live birth,5113
2005,Broj,Žene,Republika Srpska,Live birth,5020
2006,Broj,Žene,Republika Srpska,Live birth,5173
2007,Broj,Žene,Republika Srpska,Live birth,4907
2008,Broj,Žene,Republika Srpska,Live birth,4936
2009,Broj,Žene,Republika Srpska,Live birth,5026
2010,Broj,Žene,Republika Srpska,Live birth,4963
2011,Broj,Žene,Republika Srpska,Live birth,4553
2012,Broj,Žene,Republika Srpska,Live birth,4889
2013,Broj,Žene,Republika Srpska,Live birth,4603
2014,Broj,Žene,Republika Srpska,Live birth,4489
2015,Broj,Žene,Republika Srpska,Live birth,4515
2016,Broj,Žene,Republika Srpska,Live birth,4521
2017,Broj,Žene,Republika Srpska,Live birth,4453
2018,Broj,Žene,Republika Srpska,Live birth,4567
2019,Broj,Žene,Republika Srpska,Live birth,4367
1996,Broj,Oba spola,Republika Srpska,Deaths,10931
1997,Broj,Oba spola,Republika Srpska,Deaths,11755
1998,Broj,Oba spola,Republika Srpska,Deaths,12123
1999,Broj,Oba spola,Republika Srpska,Deaths,12152
2000,Broj,Oba spola,Republika Srpska,Deaths,12960
2001,Broj,Oba spola,Republika Srpska,Deaths,12932
2002,Broj,Oba spola,Republika Srpska,Deaths,12980
2003,Broj,Oba spola,Republika Srpska,Deaths,12988
2004,Broj,Oba spola,Republika Srpska,Deaths,13082
2005,Broj,Oba spola,Republika Srpska,Deaths,13802
2006,Broj,Oba spola,Republika Srpska,Deaths,13232
2007,Broj,Oba spola,Republika Srpska,Deaths,14146
2008,Broj,Oba spola,Republika Srpska,Deaths,13501
2009,Broj,Oba spola,Republika Srpska,Deaths,13775
2010,Broj,Oba spola,Republika Srpska,Deaths,13517
2011,Broj,Oba spola,Republika Srpska,Deaths,13658
2012,Broj,Oba spola,Republika Srpska,Deaths,13796
2013,Broj,Oba spola,Republika Srpska,Deaths,13978
2014,Broj,Oba spola,Republika Srpska,Deaths,14409
2015,Broj,Oba spola,Republika Srpska,Deaths,15059
2016,Broj,Oba spola,Republika Srpska,Deaths,13970
2017,Broj,Oba spola,Republika Srpska,Deaths,14663
2018,Broj,Oba spola,Republika Srpska,Deaths,14763
2019,Broj,Oba spola,Republika Srpska,Deaths,15081
1996,Broj,Muškarci,Republika Srpska,Deaths,6056
1997,Broj,Muškarci,Republika Srpska,Deaths,6495
1998,Broj,Muškarci,Republika Srpska,Deaths,6418
1999,Broj,Muškarci,Republika Srpska,Deaths,6462
2000,Broj,Muškarci,Republika Srpska,Deaths,6861
2001,Broj,Muškarci,Republika Srpska,Deaths,7026
2002,Broj,Muškarci,Republika Srpska,Deaths,6791
2003,Broj,Muškarci,Republika Srpska,Deaths,6804
2004,Broj,Muškarci,Republika Srpska,Deaths,6735
2005,Broj,Muškarci,Republika Srpska,Deaths,7239
2006,Broj,Muškarci,Republika Srpska,Deaths,6904
2007,Broj,Muškarci,Republika Srpska,Deaths,7302
2008,Broj,Muškarci,Republika Srpska,Deaths,7058
2009,Broj,Muškarci,Republika Srpska,Deaths,7099
2010,Broj,Muškarci,Republika Srpska,Deaths,6935
2011,Broj,Muškarci,Republika Srpska,Deaths,7001
2012,Broj,Muškarci,Republika Srpska,Deaths,7064
2013,Broj,Muškarci,Republika Srpska,Deaths,7237
2014,Broj,Muškarci,Republika Srpska,Deaths,7386
2015,Broj,Muškarci,Republika Srpska,Deaths,7640
2016,Broj,Muškarci,Republika Srpska,Deaths,7198
2017,Broj,Muškarci,Republika Srpska,Deaths,7363
2018,Broj,Muškarci,Republika Srpska,Deaths,7449
2019,Broj,Muškarci,Republika Srpska,Deaths,7753
1996,Broj,Žene,Republika Srpska,Deaths,4875
1997,Broj,Žene,Republika Srpska,Deaths,5260
1998,Broj,Žene,Republika Srpska,Deaths,5705
1999,Broj,Žene,Republika Srpska,Deaths,5690
2000,Broj,Žene,Republika Srpska,Deaths,6099
2001,Broj,Žene,Republika Srpska,Deaths,5906
2002,Broj,Žene,Republika Srpska,Deaths,6189
2003,Broj,Žene,Republika Srpska,Deaths,6184
2004,Broj,Žene,Republika Srpska,Deaths,6347
2005,Broj,Žene,Republika Srpska,Deaths,6563
2006,Broj,Žene,Republika Srpska,Deaths,6328
2007,Broj,Žene,Republika Srpska,Deaths,6844
2008,Broj,Žene,Republika Srpska,Deaths,6443
2009,Broj,Žene,Republika Srpska,Deaths,6676
2010,Broj,Žene,Republika Srpska,Deaths,6582
2011,Broj,Žene,Republika Srpska,Deaths,6657
2012,Broj,Žene,Republika Srpska,Deaths,6732
2013,Broj,Žene,Republika Srpska,Deaths,6741
2014,Broj,Žene,Republika Srpska,Deaths,7023
2015,Broj,Žene,Republika Srpska,Deaths,7419
2016,Broj,Žene,Republika Srpska,Deaths,6772
2017,Broj,Žene,Republika Srpska,Deaths,7300
2018,Broj,Žene,Republika Srpska,Deaths,7314
2019,Broj,Žene,Republika Srpska,Deaths,7328
1996,Broj,Oba spola,Republika Srpska,Natural change,1332
1997,Broj,Oba spola,Republika Srpska,Natural change,2002
1998,Broj,Oba spola,Republika Srpska,Natural change,1404
1999,Broj,Oba spola,Republika Srpska,Natural change,2348
2000,Broj,Oba spola,Republika Srpska,Natural change,1231
2001,Broj,Oba spola,Republika Srpska,Natural change,767
2002,Broj,Oba spola,Republika Srpska,Natural change,-644
2003,Broj,Oba spola,Republika Srpska,Natural change,-2451
2004,Broj,Oba spola,Republika Srpska,Natural change,-2454
2005,Broj,Oba spola,Republika Srpska,Natural change,-3480
2006,Broj,Oba spola,Republika Srpska,Natural change,-2708
2007,Broj,Oba spola,Republika Srpska,Natural change,-4036
2008,Broj,Oba spola,Republika Srpska,Natural change,-3303
2009,Broj,Oba spola,Republika Srpska,Natural change,-3172
2010,Broj,Oba spola,Republika Srpska,Natural change,-3370
2011,Broj,Oba spola,Republika Srpska,Natural change,-4097
2012,Broj,Oba spola,Republika Srpska,Natural change,-3818
2013,Broj,Oba spola,Republika Srpska,Natural change,-4468
2014,Broj,Oba spola,Republika Srpska,Natural change,-5074
2015,Broj,Oba spola,Republika Srpska,Natural change,-5702
2016,Broj,Oba spola,Republika Srpska,Natural change,-4518
2017,Broj,Oba spola,Republika Srpska,Natural change,-5324
2018,Broj,Oba spola,Republika Srpska,Natural change,-5195
2019,Broj,Oba spola,Republika Srpska,Natural change,-5807
2002,Broj,Oba spola,Brčko Distrikt BiH,Live birth,898
2003,Broj,Oba spola,Brčko Distrikt BiH,Live birth,987
2004,Broj,Oba spola,Brčko Distrikt BiH,Live birth,984
2005,Broj,Oba spola,Brčko Distrikt BiH,Live birth,977
2006,Broj,Oba spola,Brčko Distrikt BiH,Live birth,912
2007,Broj,Oba spola,Brčko Distrikt BiH,Live birth,976
2008,Broj,Oba spola,Brčko Distrikt BiH,Live birth,905
2009,Broj,Oba spola,Brčko Distrikt BiH,Live birth,933
2010,Broj,Oba spola,Brčko Distrikt BiH,Live birth,916
2011,Broj,Oba spola,Brčko Distrikt BiH,Live birth,905
2012,Broj,Oba spola,Brčko Distrikt BiH,Live birth,964
2013,Broj,Oba spola,Brčko Distrikt BiH,Live birth,896
2014,Broj,Oba spola,Brčko Distrikt BiH,Live birth,919
